Trial,FeatureSet,MAE,RMSE,MAPE,R2,Within10,Within20,BestIteration
21,G0_RAW_CLARITY,257.8728929169324,513.2349522677617,6.044131288359484,0.9826728055286876,81.83055040197897,96.22758194186765,1642
15,G0_RAW_CLARITY,259.7662373483218,514.7397290760927,6.119060154602686,0.9825710518059336,81.94186765615336,96.28942486085343,3264
16,G0_RAW_CLARITY,260.8929163058157,514.1418470545284,6.160289881797175,0.9826115165394403,81.43475572047001,96.26468769325912,4970
29,G0_RAW_CLARITY,262.2030590880706,515.7030776560573,6.231145192683935,0.9825057533137295,81.63265306122449,96.27705627705627,3718
24,G0_RAW_CLARITY,266.4704402963689,526.7514051662206,6.3371449411354375,0.9817481367854409,80.66790352504638,96.04205318491033,2499
19,G0_RAW_CLARITY,267.61224218780194,528.1827503286805,6.436261664425704,0.9816488101949638,80.1113172541744,96.0791589363018,3639
23,G0_RAW_CLARITY,269.4119163461283,531.7629141610802,6.517630507305869,0.9813991885139799,79.70315398886827,95.91836734693877,1862
13,G0_RAW_CLARITY,270.1289614760588,533.8310182584564,6.49401221205591,0.9812542245908479,79.92578849721707,96.09152752009895,1610
10,G0_RAW_CLARITY,270.5529594954548,529.0704473279238,6.564818783898434,0.9815870740426259,79.22077922077922,96.11626468769326,1217
28,G0_RAW_CLARITY,271.4089521362078,532.7605301108663,6.538919791185991,0.9813293307928442,79.80210265924552,96.04205318491033,4467
3,G0_RAW_CLARITY,273.9459339790604,541.6067224337731,6.619852971537641,0.98070415099021,79.36920222634508,96.1038961038961,1227
27,G0_RAW_CLARITY,274.1659727720545,534.3803803263029,6.665846290289877,0.9812156224246017,78.81261595547309,95.89363017934447,4474
26,G0_RAW_CLARITY,275.7159601913386,542.7912511044279,6.701464812495063,0.9806196561723637,78.84972170686456,95.91836734693877,1843
22,G0_RAW_CLARITY,276.9558453448407,544.3348509500298,6.783773961482381,0.9805092710738551,78.13234384662955,95.90599876314162,3181
12,G0_RAW_CLARITY,278.29491631502566,542.0692924467271,6.835154252825837,0.9806711769064904,77.82312925170068,95.65862708719851,1387
11,G0_RAW_CLARITY,284.1695854116238,564.4664132547803,6.905223866048075,0.979040929850481,77.58812615955473,95.65862708719851,1195
25,G0_RAW_CLARITY,285.0375815236428,557.2830318729764,7.041238008505628,0.9795709844260968,76.52442795299939,95.51020408163265,4991
20,G0_RAW_CLARITY,286.2185388795078,563.2322602549759,7.084503526178651,0.9791324797501116,76.1038961038961,95.44836116264688,1463
1,G2_CLARITY_X_PHYSICAL,286.4141586577369,558.6385280153077,7.175599482815402,0.9794714833554075,75.88126159554731,95.47309833024119,3229
17,G0_RAW_CLARITY,288.0332247685118,569.2106390523315,7.082247771413851,0.9786871358155536,76.12863327149041,95.44836116264688,2027
14,G0_RAW_CLARITY,289.8973503268495,574.4129289906153,7.135861779420336,0.9782957785061701,75.81941867656154,95.53494124922696,517
8,G1_CLARITY_X_CARAT,291.59722468199817,565.7502258380136,7.395164625674165,0.9789454835445414,74.27334570191712,95.26283240568955,1313
18,G0_RAW_CLARITY,292.155838214636,569.4773526443682,7.2683216360776886,0.9786671581062741,75.15151515151514,95.18862090290662,2321
2,G3_CLARITY_X_SIZE_QUALITY,292.2220215258955,572.0736737878829,7.327572139422321,0.9784721963004942,74.84230055658627,95.0278293135436,1701
4,G2_CLARITY_X_PHYSICAL,293.8380934715861,575.7155681422021,7.363789799427975,0.978197226313558,74.3351886209029,95.20098948670378,1317
9,G2_CLARITY_X_PHYSICAL,295.948206476083,585.4095959084738,7.397532809478944,0.9774568046853114,74.26097711811998,95.01546072974645,831
5,G1_CLARITY_X_CARAT,302.5606013687879,598.273836610327,7.623929024268174,0.9764551557671163,72.75200989486704,94.75572047000618,2320
6,G2_CLARITY_X_PHYSICAL,309.8468536924269,603.483647071681,7.90956344515832,0.9760433100457341,70.72356215213358,94.1743970315399,1608
7,G2_CLARITY_X_PHYSICAL,323.19417162950054,627.5849723854856,8.225495688746353,0.9740915834257975,68.62090290661719,93.63017934446506,1431
0,G1_CLARITY_X_CARAT,328.4109922768823,637.3459001298207,8.364106596374102,0.9732794008091126,68.34879406307978,93.24675324675324,1119
