Algorithm,Feature_Set,Inputs,MAE,Median_AE,MSE,RMSE,R2,MAPE,Median_APE,sMAPE,WAPE,Bias,Median_Bias,NRMSE_Mean,P75_APE,P90_APE,P95_APE,P99_APE,Within_5,Within_10,Within_15,Within_20,Over_20,Over_30,Over_50
XGBoost,HUMAN_PLUS_RAW,67,245.45902972672556,87.22503662109375,257677.94784915473,507.6198851987132,0.9832621863676212,5.895495868455427,4.0965754281583635,5.839412930611336,6.36007729937616,5.317586123360921,2.43206787109375,13.152914814984088,7.844816453516638,13.203471545670821,17.41189398032242,29.14833009811819,57.872603586889305,82.6221397649969,92.57884972170687,96.52442795299937,3.475572047000618,0.878169449598021,0.07421150278293136
XGBoost,CURRENT_BASELINE,34,248.55205313659556,87.24365234375,263985.70366985654,513.7953908608529,0.9828524577034234,5.987921566599269,4.167192567069575,5.927757879502819,6.4402204825275575,5.652488762284033,1.080322265625,13.312928049851314,8.024664944102641,13.33488051447734,17.555546276043255,29.43126267167825,56.89548546691404,82.21397649969079,92.44279529993815,96.47495361781077,3.525046382189239,0.9152752009894867,0.11131725417439704
RandomForest,HUMAN_PLUS_RAW,67,254.25940547189973,95.49541938998618,274050.05587618874,523.4979043665684,0.9821987143273747,6.483124156143711,4.576261690521792,6.419134861355463,6.588103418705225,8.577762698014554,1.6815549472321436,13.564329417987143,8.797924617822307,14.547909338375277,18.59254163507283,31.2460241327665,53.56833642547928,79.69078540507113,90.67408781694496,96.017316017316,3.982683982683983,1.1255411255411256,0.08658008658008658
XGBoost,HUMAN_ONLY,62,259.99818627824,107.70184326171875,268976.3136741793,518.6292641899214,0.982528285996603,7.247106880160874,5.2930924699113175,7.1813312281369575,6.736800696508105,13.386472337070481,2.10986328125,13.438178312848345,10.529107117516133,15.734373734421991,19.40193717578305,30.59709938063296,47.854050711193565,73.33333333333333,88.22510822510823,95.55967841682127,4.440321583178726,1.0760667903525045,0.08658008658008658
RandomForest,CURRENT_BASELINE,34,263.14579123097644,94.85395034552414,295774.2325741067,543.8512963799081,0.9807875915521365,6.587655159502172,4.56490865221898,6.502110903922074,6.818358139432861,7.619239910643412,2.3817832433988997,14.091705194928265,8.836651456318473,14.898225776220666,19.384848551085167,33.06013484033978,53.71675943104515,79.14656771799629,90.12987012987013,95.47309833024119,4.5269016697588125,1.3358070500927643,0.11131725417439704
RandomForest,HUMAN_ONLY,62,264.8806664655857,119.09516148552188,278128.1433364378,527.3785579035592,0.9819338167354157,7.859856915108162,5.468223997129849,7.780331904748366,6.86331040950894,6.3499623232970075,-1.4955282782839276,13.66488084807646,11.20442564530981,18.880619266261558,22.516712274742574,31.97919208402793,46.691403834260974,71.67594310451453,83.52504638218925,92.04700061842918,7.952999381570811,1.2121212121212122,0.12368583797155226
