Model,Inputs,Best_Iteration,Runtime_Min,MAE,Median_AE,RMSE,MAPE,Median_APE,sMAPE,WAPE,R2,Bias,P75_APE,P90_APE,P95_APE,P99_APE,Within_5,Within_10,Within_15,Within_20,Over_20,Over_30,Over_50
XGBoost,67,,,245.46,87.23,507.62,5.9,4.1,5.84,6.36,0.9833,5.32,7.84,13.2,17.41,29.15,57.87,82.62,92.58,96.52,3.48,0.88,0.07
CatBoost,43,4998.0,23.987790234883626,247.79582481165357,89.56046760748268,511.71545942278794,5.892078875854625,4.158023450585721,5.846679657517538,6.42062588619935,0.9829910090508892,10.487791739458602,7.9211334982749975,13.03478390801099,16.795453920355957,29.917946872079664,57.35312306740879,82.47371675943104,93.09833024118738,96.67285095856525,3.3271490414347555,0.9894867037724181,0.03710575139146568
LightGBM,67,4274.0,1.6566334287325541,247.86838685176514,87.56302665341536,506.6192078912084,5.912711862723176,4.129319945575521,5.864886016909166,6.42250603778564,0.9833281122379992,6.982464595347508,8.004949662729622,13.239557211272658,17.231378059726758,28.9253098604245,57.081014223871364,82.44897959183673,92.65306122448979,96.9325912183055,3.0674087816944957,0.878169449598021,0.06184291898577613
ExtraTrees,67,,1.1177134235699973,253.21808180140562,94.67063756709058,526.8668124862917,6.5390270719267924,4.501437187536913,6.471357282668724,6.561121730374647,0.9819688610152445,4.010293622774798,8.917930496494527,14.76177200776061,19.71712055211091,31.343298145600997,53.88991960420532,78.29313543599258,90.35250463821892,95.23809523809523,4.761904761904762,1.1626468769325913,0.11131725417439704
