Model,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Macro_Jaccard,MCC,Geometric_Mean_Recall,Cohen_Kappa,Linear_Weighted_Kappa,Quadratic_Weighted_Kappa,Ordinal_MAE,Ordinal_MSE,Ordinal_RMSE,Median_Absolute_Error,Mean_Signed_Error,Mean_Error_When_Wrong,Exact,Within_1,Within_2,Exactly_1_Off,Exactly_2_Off,Severe_Error_GT1,Very_Severe_Error_GT2,Predicts_Too_High,Predicts_Too_Low,Log_Loss,Multiclass_Brier,Ranked_Probability_Score,Top_2_Accuracy,ROC_AUC_Macro,ROC_AUC_Weighted,PR_AUC_Macro,PR_AUC_Weighted,ECE,Mean_Confidence,Confidence_Correct,Confidence_Wrong,Mean_Entropy
Ordinal Random Forest,57.12166172106825,44.871578147691174,49.30104191287567,44.871578147691174,45.421428089779646,57.242999432042595,57.12166172106825,55.84984526475694,30.44399975079717,0.35062144816715723,0.4146773423736159,0.34167645594482166,0.4111211574968081,0.4844834904785681,0.5359792284866469,0.7785608308605341,0.8823609413729362,0.0,-0.11683976261127596,1.25,57.12166172106825,90.67754698318497,98.61523244312562,33.55588526211671,7.937685459940654,9.322453016815034,1.3847675568743818,16.444114737883282,26.434223541048468,1.1444245168971867,0.5552926923135688,0.08692617214545172,85.02720079129574,0.810606599414369,0.7557063765851794,0.46771606982128866,0.6070120101893169,0.03582832328326545,53.66424578453943,56.52527835348462,49.852835614837346,1.0638153196739515
Ordinal XGBoost,59.619188921859546,51.15918015437276,53.306199596151046,51.15918015437276,51.45624377891836,60.03710189998578,59.619188921859546,58.867759357641724,35.377256877231126,0.3943186403265332,0.49413233571164744,0.3878343250117321,0.4581353779232059,0.5311797352631611,0.49888724035608306,0.7125370919881305,0.8441191219183052,0.0,-0.05922354104846687,1.2354562155541948,59.619188921859546,91.66666666666666,98.82542037586548,32.047477744807125,7.158753709198813,8.333333333333332,1.1745796241345203,17.445598417408505,22.93521266073195,1.2052095208796125,0.5447141572463884,0.08418323244711556,85.15084075173095,0.8153152887906167,0.7669811483879334,0.5144135456062312,0.6276312593403647,0.03347359672483541,62.86232376098633,65.90140533447266,58.37535095214844,0.8532244563102722
