number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy,user_attrs_balanced_accuracy,user_attrs_mcc,user_attrs_mean_best_iteration,user_attrs_ordinal_mae,user_attrs_severe_error,user_attrs_within_one,system_attrs_tpe:relative_params:0,state
0,0.4497672861000742,2026-09-19 12:25:29.692364,2026-09-19 12:26:45.323353,0 days 00:01:15.630989,0.6624074561769746,100,0.7799726016810132,0.017873564613001217,10,6.028563143721882,3.3323645788192616e-08,7.5504986209563665,0.8394633936788146,0.5343719090009891,0.4932152341576536,0.3220497035054876,2741.5,0.5888971315529179,0.10867952522255193,0.891320474777448,,COMPLETE
1,0.30723697699108987,2026-09-19 12:26:45.323498,2026-09-19 12:27:26.419240,0 days 00:00:41.095742,0.6849356442713105,100,0.9091248360355031,0.05557494721547488,3,13.540804321249833,4.4734294104626844e-07,0.023021277110080198,0.9329770563201687,0.41876854599406527,0.4671341645442393,0.20655407912036172,2555.5,0.8128090999010881,0.1933728981206726,0.8066271018793274,,COMPLETE
2,0.3610229001840234,2026-09-19 12:27:26.419424,2026-09-19 12:28:18.894560,0 days 00:00:52.475136,0.7168578594140873,60,1.8318092164684585,0.02172727054864738,5,4.006368751999268,0.00012724181576752517,3.2758800065878395,0.6557975442608167,0.46080613254203756,0.47747624870928684,0.24787411072120613,2738.5,0.7216864490603363,0.15702274975272007,0.8429772502472799,,COMPLETE
3,0.4296945386508483,2026-09-19 12:28:18.894709,2026-09-19 12:29:36.168756,0 days 00:01:17.274047,0.6682096494749166,120,0.3252579649263976,0.02874462340995989,7,0.5855754977762047,3.4671276804481113,21.04998058047481,0.8430179407605753,0.5144658753709199,0.4961910024842496,0.29995636420683247,2825.0,0.6186943620178041,0.11696340257171117,0.8830365974282888,,COMPLETE
4,0.2109531459838601,2026-09-19 12:29:36.168941,2026-09-19 12:30:20.283800,0 days 00:00:44.114859,0.6488152939379115,60,2.475884550556351,0.014090340145923627,3,5.124661108462077,2.039373116525212e-08,11.779794101330705,0.7760609974958406,0.30291790306627103,0.443687438931875,0.13023485745191357,2629.25,1.0735657764589515,0.2990850642927794,0.7009149357072205,,COMPLETE
5,0.28295107514977125,2026-09-19 12:30:20.283921,2026-09-19 12:30:56.302127,0 days 00:00:36.018206,0.6739417822102108,140,4.847923138822793,0.047598772413463386,5,2.932064584848263,0.09466630153726856,16.078690668199,0.8186841117373118,0.3994807121661721,0.4674688888522347,0.19240803077737462,1831.75,0.844213649851632,0.20548961424332343,0.7945103857566765,,COMPLETE
6,0.4609983553574392,2026-09-19 12:30:56.302290,2026-09-19 12:31:35.878439,0 days 00:00:39.576149,0.6180909155642152,120,1.6266516538163218,0.03820680934616659,10,0.6755914738225409,3.148441347423712e-05,0.016400705022266843,0.6783931449676581,0.5499505440158259,0.48636463217882653,0.3390691736912151,1610.25,0.5646636993076162,0.10212660731948565,0.8978733926805144,,COMPLETE
7,0.3302675686530038,2026-09-19 12:31:35.878574,2026-09-19 12:32:37.929892,0 days 00:01:02.051318,0.9208787923016158,60,0.3727532183988541,0.016824335720939766,5,3.1666343876609195,7.620481786158549,2.8670381406027654,0.6563696899899051,0.44226013847675566,0.47091974349279686,0.23328574112018935,2661.5,0.7679277942631059,0.17668150346191888,0.8233184965380811,,COMPLETE
8,0.4010649907196327,2026-09-19 12:32:37.930059,2026-09-19 12:34:28.023095,0 days 00:01:50.093036,0.9085081386743783,140,0.3702232586704518,0.005094796489697568,9,5.534571609696724,1.683416412018213e-05,0.0033018689263435343,0.8916028672163949,0.4991345202769535,0.4936467443564482,0.2941613009918846,2998.75,0.6586300692383779,0.1357566765578635,0.8642433234421365,,COMPLETE
9,0.3286063109886623,2026-09-19 12:34:28.023176,2026-09-19 12:35:20.311633,0 days 00:00:52.288457,0.7300733288106989,80,3.64803089169032,0.04165401945150998,5,0.620659481764711,0.005470376807480391,9.37905380401463,0.7243929286862649,0.43669634025717113,0.4759248253523139,0.2285479688051769,2237.5,0.7670623145400594,0.173837784371909,0.826162215628091,,COMPLETE
10,0.47663360071493577,2026-09-19 12:35:20.311725,2026-09-19 12:36:16.207803,0 days 00:00:55.896078,0.7605184682583072,100,0.02756186063809385,0.032358401173522254,9,1.1633060346705204,2.453982883175367e-08,7.5596778078102025,0.7156531074827586,0.5592235410484668,0.48183059471183604,0.34088870399082644,1340.5,0.5437685459940653,0.09149357072205737,0.9085064292779427,"{""colsample_bytree"": 0.7605184682583072, ""early_stopping_rounds"": 100, ""gamma"": 0.02756186063809385, ""learning_rate"": 0.032358401173522254, ""max_depth"": 9, ""min_child_weight"": 1.1633060346705204, ""reg_alpha"": 2.453982883175367e-08, ""reg_lambda"": 7.5596778078102025, ""subsample"": 0.7156531074827586}",COMPLETE
11,0.4250702723755169,2026-09-19 12:36:16.207886,2026-09-19 12:37:05.068297,0 days 00:00:48.860411,0.7049856908933044,120,2.4706662440334517,0.04780433150483851,7,0.8006854049919956,0.0010806996903432679,0.02846404668030982,0.6633465370033093,0.5181750741839762,0.4836161682644768,0.30936310652072196,2016.75,0.6195598417408507,0.12030168150346192,0.8796983184965381,"{""colsample_bytree"": 0.7049856908933044, ""early_stopping_rounds"": 120, ""gamma"": 2.4706662440334517, ""learning_rate"": 0.04780433150483851, ""max_depth"": 7, ""min_child_weight"": 0.8006854049919956, ""reg_alpha"": 0.0010806996903432679, ""reg_lambda"": 0.02846404668030982, ""subsample"": 0.6633465370033093}",COMPLETE
