Model,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,Encoded_Features
SIZE_PLUS_COLOR,52.217068645640076,54.19003325720214,51.01629793397644,51.764932293896216,12
SIZE_COLOR_INTERACTION,51.901669758812616,53.99766284514854,50.74442294738767,51.45009216401581,76
SIZE_ONLY,49.69387755102041,50.76630087105073,48.01644863613941,48.94319869622944,5
COLOR_ONLY,38.218923933209645,39.08138369691787,32.451000599255096,33.27367026765259,7
