Price_Band,Count,MAE,Median_AE,MAPE,Median_APE,P90_APE,Within_10,Within_20,Over_30,Algorithm,Feature_Set
<$1K,2227,36.07465821956914,24.73236083984375,5.129739815775805,3.524175420537725,11.707442695889672,86.52896273013022,97.97934440951953,0.224517287831163,XGBoost,CURRENT_BASELINE
$1K-$3K,2361,110.97727266381929,72.5870361328125,5.934710658905825,4.254124852902719,12.833536082300649,82.71918678526048,96.569250317662,0.8047437526471835,XGBoost,CURRENT_BASELINE
$3K-$5K,1358,256.86588742420497,183.119140625,6.456312101552264,4.636635746562049,14.228421792465664,79.23416789396171,96.09720176730487,1.251840942562592,XGBoost,CURRENT_BASELINE
$5K-$10K,1375,441.5475232599432,304.05517578125,6.501168520699308,4.477536398663394,14.05156179728268,79.78181818181818,95.12727272727273,1.5272727272727273,XGBoost,CURRENT_BASELINE
$10K+,764,930.9372060086714,644.779296875,6.897624189366741,4.71912776306587,14.883383580844434,77.74869109947645,94.89528795811518,1.5706806282722512,XGBoost,CURRENT_BASELINE
<$1K,2227,43.08211216057799,31.292112400687643,6.243089874986883,4.5228469377704155,14.420071396176233,79.92815446789403,96.8118545127975,0.673551863493489,RandomForest,CURRENT_BASELINE
$1K-$3K,2361,118.28769777541814,77.8777620312976,6.398575461687192,4.477019093282187,14.115225669489265,80.94027954256671,95.63744176196526,1.1859381617958493,RandomForest,CURRENT_BASELINE
$3K-$5K,1358,268.027602555965,183.15854183365855,6.7643586987014634,4.569471367533463,15.45732811829931,77.76141384388808,94.99263622974962,1.5463917525773196,RandomForest,CURRENT_BASELINE
$5K-$10K,1375,470.4742025903988,305.4922270894658,6.9435690819317255,4.552634632413242,15.693867428793752,78.18181818181819,94.18181818181817,2.0363636363636366,RandomForest,CURRENT_BASELINE
$10K+,764,970.4569254453886,643.4827220110274,7.221711449532856,4.873580622793268,15.771695504648143,75.52356020942408,94.24083769633508,2.094240837696335,RandomForest,CURRENT_BASELINE
<$1K,2227,64.47839380134955,58.32635498046875,9.133967329096784,8.339476833453757,17.66945102547204,56.8926807364167,94.56668163448586,0.5837449483610238,XGBoost,HUMAN_ONLY
$1K-$3K,2361,115.99069548642822,79.0545654296875,6.348092378340371,4.649169540603852,14.123558575014988,80.51673019906819,96.90808979246081,0.847098686997035,XGBoost,HUMAN_ONLY
$3K-$5K,1358,259.81301965278095,187.0284423828125,6.53805907844066,4.6956380104849895,14.524181144942403,79.16053019145802,95.9499263622975,1.3254786450662739,XGBoost,HUMAN_ONLY
$5K-$10K,1375,444.5858995028409,300.3369140625,6.549511886343423,4.470431607215585,14.817417032876506,79.41818181818182,94.83636363636364,1.6727272727272726,XGBoost,HUMAN_ONLY
$10K+,764,943.0709797324935,660.17724609375,7.041105637036511,5.084425178114513,15.048019100380749,77.74869109947645,94.89528795811518,1.7015706806282722,XGBoost,HUMAN_ONLY
<$1K,2227,77.07739460125094,62.679493556655416,10.870824625042014,9.055012016993174,22.113737549455095,53.210597215985636,83.11629995509654,0.673551863493489,RandomForest,HUMAN_ONLY
$1K-$3K,2361,122.11592347207076,86.1160647069803,6.74662846224987,5.028381589993859,14.889161409802487,78.99195256247353,96.06099110546378,1.0165184243964422,RandomForest,HUMAN_ONLY
$3K-$5K,1358,262.2178436947615,176.3367961793033,6.606418386994246,4.297547079558674,15.248062411402604,78.93961708394698,94.91899852724595,1.399116347569956,RandomForest,HUMAN_ONLY
$5K-$10K,1375,448.1376944872659,296.31824315333324,6.638660208462322,4.459583904242627,15.40843329210401,79.05454545454546,94.98181818181818,1.9636363636363636,RandomForest,HUMAN_ONLY
$10K+,764,928.4188136416739,619.9808382903784,6.949153093108778,4.600093410540946,14.923916552731766,76.70157068062828,95.28795811518324,1.7015706806282722,RandomForest,HUMAN_ONLY
<$1K,2227,35.170833469454244,22.4654541015625,4.999555125923414,3.3616895799512982,11.815787061460496,86.16973506960036,97.84463403682084,0.224517287831163,XGBoost,HUMAN_PLUS_RAW
$1K-$3K,2361,108.5575668806749,70.116943359375,5.769962442119286,4.105822975523342,12.979524355683205,84.24396442185514,96.73867005506142,0.7623888182973316,XGBoost,HUMAN_PLUS_RAW
$3K-$5K,1358,257.33613148213135,183.1046142578125,6.476628214923082,4.639736388272567,14.41293606906845,79.45508100147275,95.87628865979381,1.1782032400589102,XGBoost,HUMAN_PLUS_RAW
$5K-$10K,1375,438.2044513494318,294.775390625,6.4753448569932335,4.568024571654245,14.28098296272283,79.56363636363636,95.19999999999999,1.3818181818181818,XGBoost,HUMAN_PLUS_RAW
$10K+,764,913.4984380112893,621.4345703125,6.818498967219652,4.874475029363264,14.638128139663351,78.40314136125654,95.54973821989529,1.7015706806282722,XGBoost,HUMAN_PLUS_RAW
<$1K,2227,45.15646983837258,33.40911543084724,6.485866487684086,4.787963738812139,14.868379175392267,78.49124382577457,96.99146834306241,0.449034575662326,RandomForest,HUMAN_PLUS_RAW
$1K-$3K,2361,115.15282580769306,76.74503779168617,6.19817442644185,4.405524256314491,13.874824246880202,81.6603134265142,96.4845404489623,0.8894536213468869,RandomForest,HUMAN_PLUS_RAW
$3K-$5K,1358,259.32088941340095,172.42062567894232,6.53898640741799,4.319223124269961,14.918318025552773,79.23416789396171,95.36082474226805,1.4727540500736376,RandomForest,HUMAN_PLUS_RAW
$5K-$10K,1375,448.1061479482533,296.26628261595033,6.626012552170884,4.56108862820274,15.137369703712503,80.0,94.76363636363637,1.9636363636363636,RandomForest,HUMAN_PLUS_RAW
$10K+,764,935.7909580183812,646.1572833668442,6.999258524884338,4.8926114315559275,14.850490335920199,77.35602094240838,95.15706806282722,1.7015706806282722,RandomForest,HUMAN_PLUS_RAW
