Dataset,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Mean_Family_Error,Within_1_Family,Severe_Error
Validation,54.79723046488625,48.27801380673786,49.126595759620095,48.27801380673786,48.28764010047904,54.79991502392812,0.5503214638971315,91.2215628090999,8.778437190900098
Test,54.376854599406535,46.71582651864934,47.454589963633545,46.71582651864934,46.73021539927425,54.45756149289813,0.5571216617210683,91.08555885262116,8.914441147378833
