,Pred_I,Pred_SI,Pred_VS,Pred_VVS,Pred_IF
Actual_I,36.03603603603604,52.25225225225225,9.90990990990991,1.8018018018018018,0.0
Actual_SI,0.9589451603236441,63.76985316152233,25.651783038657477,7.851363500149835,1.7680551393467185
Actual_VS,0.29373368146214096,31.755874673629243,48.56396866840731,16.351174934725847,3.035248041775457
Actual_VVS,0.0,14.602446483180428,29.128440366972473,49.38837920489297,6.8807339449541285
Actual_IF,0.0,12.686567164179104,22.388059701492537,29.1044776119403,35.82089552238806
