Dataset,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Mean_Family_Error,Within_1_Family,Severe_Error
Validation,50.79129574678536,47.19874513066454,40.8967574782474,47.19874513066454,42.715364546767375,51.21723236500735,0.6264836795252225,88.3160237388724,11.683976261127595
Test,50.32146389713156,48.0492224860818,41.58136547688812,48.0492224860818,43.389229456849364,50.789628108064925,0.6322947576656776,88.36547972304649,11.634520276953511
