,Pred_I,Pred_SI,Pred_VS,Pred_VVS,Pred_IF
Actual_I,42.34234234234234,45.94594594594595,8.108108108108109,3.6036036036036037,0.0
Actual_SI,1.85795624812706,61.04285286185196,23.88372789931076,9.799220857057236,3.4162421336529816
Actual_VS,0.6527415143603132,31.33159268929504,39.882506527415146,21.703655352480418,6.429503916449086
Actual_VVS,0.22935779816513763,14.984709480122325,23.08868501529052,48.47094801223242,13.226299694189603
Actual_IF,0.0,12.686567164179104,13.805970149253731,25.0,48.507462686567166
