Algorithm,Feature_Set,MAE,RMSE,MAPE,R2,Median_Error,Within10,Within20
XGBoost,HUMAN_PLUS_RAW,245.4590301513672,507.6198903953627,5.895495787262917,0.9832621812820435,87.22503662109375,82.6221397649969,96.52442795299937
RandomForest,HUMAN_PLUS_RAW,254.25940547189964,523.4979043665682,6.483124156143709,0.9821987143273748,95.49541938998391,79.69078540507113,96.017316017316
